qemu-system-riscv64 -machine virt -bios none -kernel kernel/kernel -m 128M -smp 1 -nographic -global virtio-mmio.force-legacy=false -drive file=fs.img,if=none,format=raw,id=x0 -device virtio-blk-device,drive=x0,bus=virtio-mmio-bus.0

xv6 kernel is booting

init: starting sh
21 | [0] init:2 | [1] test:2 | [2] lab2:3 | [3]*test:4 | [4] test:3
641 | [0] init:2 | [1] test:2 | [2]*lab2:4 | [3] lab2:3 | [4] lab2:3
661 | [0] init:2 | [1] test:2 | [2] lab2:3 | [3]*lab2:4 | [4] lab2:3
671 | [0] init:2 | [1] test:2 | [2] lab2:3 | [3] lab2:3 | [4]*lab2:4
681 | [0] init:2 | [1] test:2 | [2]*lab2:4 | [3] lab2:3 | [4] lab2:3
701 | [0] init:2 | [1] test:2 | [2] lab2:3 | [3]*lab2:4 | [4] lab2:3
711 | [0] init:2 | [1] test:2 | [2] lab2:3 | [3] lab2:3 | [4]*lab2:4
721 | [0] init:2 | [1] test:2 | [2]*lab2:4 | [3] lab2:3 | [4] lab2:3
741 | [0] init:2 | [1] test:2 | [2] lab2:3 | [3]*lab2:4 | [4] lab2:3
751 | [0] init:2 | [1] test:2 | [2] lab2:3 | [3] lab2:3 | [4]*lab2:4
761 | [0] init:2 | [1] test:2 | [2]*lab2:4 | [3] lab2:3 | [4] lab2:3
781 | [0] init:2 | [1] test:2 | [2] lab2:3 | [3]*lab2:4 | [4] lab2:3
791 | [0] init:2 | [1] test:2 | [2] lab2:3 | [3] lab2:3 | [4]*lab2:4
801 | [0] init:2 | [1] test:2 | [2]*lab2:4 | [3] lab2:3 | [4] lab2:3
821 | [0] init:2 | [1] test:2 | [2] lab2:3 | [3]*lab2:4 | [4] lab2:3
831 | [0] init:2 | [1] test:2 | [2] lab2:3 | [3] lab2:3 | [4]*lab2:4
841 | [0] init:2 | [1] test:2 | [2]*lab2:4 | [3] lab2:3 | [4] lab2:3
861 | [0] init:2 | [1] test:2 | [2] lab2:3 | [3]*lab2:4 | [4] lab2:3
871 | [0] init:2 | [1] test:2 | [2] lab2:3 | [3] lab2:3 | [4]*lab2:4
881 | [0] init:2 | [1] test:2 | [2]*lab2:4 | [3] lab2:3 | [4] lab2:3
901 | [0] init:2 | [1] test:2 | [2] lab2:3 | [3]*lab2:4 | [4] lab2:3
911 | [0] init:2 | [1] test:2 | [2] lab2:3 | [3] lab2:3 | [4]*lab2:4
921 | [0] init:2 | [1] test:2 | [2]*lab2:4 | [3] lab2:3 | [4] lab2:3
941 | [0] init:2 | [1] test:2 | [2] lab2:3 | [3]*lab2:4 | [4] lab2:3
951 | [0] init:2 | [1] test:2 | [2] lab2:3 | [3] lab2:3 | [4]*lab2:4
961 | [0] init:2 | [1] test:2 | [2]*lab2:4 | [3] lab2:3 | [4] lab2:3
981 | [0] init:2 | [1] test:2 | [2] lab2:3 | [3]*lab2:4 | [4] lab2:3
991 | [0] init:2 | [1] test:2 | [2] lab2:3 | [3] lab2:3 | [4]*lab2:4
1001 | [0] init:2 | [1] test:2 | [2]*lab2:4 | [3] lab2:3 | [4] lab2:3
1021 | [0] init:2 | [1] test:2 | [2] lab2:3 | [3]*lab2:4 | [4] lab2:3
1031 | [0] init:2 | [1] test:2 | [2] lab2:3 | [3] lab2:3 | [4]*lab2:4
1041 | [0] init:2 | [1] test:2 | [2]*lab2:4 | [3] lab2:3 | [4] lab2:3
1061 | [0] init:2 | [1] test:2 | [2] lab2:3 | [3]*lab2:4 | [4] lab2:3
1071 | [0] init:2 | [1] test:2 | [2] lab2:3 | [3] lab2:3 | [4]*lab2:4
1081 | [0] init:2 | [1] test:2 | [2]*lab2:4 | [3] lab2:3 | [4] lab2:3
1101 | [0] init:2 | [1] test:2 | [2] lab2:3 | [3]*lab2:4 | [4] lab2:3
1111 | [0] init:2 | [1] test:2 | [2] lab2:3 | [3] lab2:3 | [4]*lab2:4
1121 | [0] init:2 | [1] test:2 | [2]*lab2:4 | [3] lab2:3 | [4] lab2:3
1141 | [0] init:2 | [1] test:2 | [2] lab2:3 | [3]*lab2:4 | [4] lab2:3
1151 | [0] init:2 | [1] test:2 | [2] lab2:3 | [3] lab2:3 | [4]*lab2:4
1161 | [0] init:2 | [1] test:2 | [2]*lab2:4 | [3] lab2:3 | [4] lab2:3
1181 | [0] init:2 | [1] test:2 | [2] lab2:3 | [3]*lab2:4 | [4] lab2:3
1191 | [0] init:2 | [1] test:2 | [2] lab2:3 | [3] lab2:3 | [4]*lab2:4
1201 | [0] init:2 | [1] test:2 | [2]*lab2:4 | [3] lab2:3 | [4] lab2:3
1221 | [0] init:2 | [1] test:2 | [2] lab2:3 | [3]*lab2:4 | [4] lab2:3
1231 | [0] init:2 | [1] test:2 | [2] lab2:3 | [3] lab2:3 | [4]*lab2:4
1241 | [0] init:2 | [1] test:2 | [2]*lab2:4 | [3] lab2:3 | [4] lab2:3
1261 | [0] init:2 | [1] test:2 | [2] lab2:3 | [3]*lab2:4 | [4] lab2:3
1271 | [0] init:2 | [1] test:2 | [2] lab2:3 | [3] lab2:3 | [4]*lab2:4
1281 | [0] init:2 | [1] test:2 | [2]*lab2:4 | [3] lab2:3 | [4] lab2:3
1301 | [0] init:2 | [1] test:2 | [2] lab2:3 | [3]*lab2:4 | [4] lab2:3
1311 | [0] init:2 | [1] test:2 | [2] lab2:3 | [3] lab2:3 | [4]*lab2:4
1321 | [0] init:2 | [1] test:2 | [2]*lab2:4 | [3] lab2:3 | [4] lab2:3
1341 | [0] init:2 | [1] test:2 | [2] lab2:3 | [3]*lab2:4 | [4] lab2:3
1351 | [0] init:2 | [1] test:2 | [2] lab2:3 | [3] lab2:3 | [4]*lab2:4
1361 | [0] init:2 | [1] test:2 | [2]*lab2:4 | [3] lab2:3 | [4] lab2:3
1381 | [0] init:2 | [1] test:2 | [2] lab2:3 | [3]*lab2:4 | [4] lab2:3
1391 | [0] init:2 | [1] test:2 | [2] lab2:3 | [3] lab2:3 | [4]*lab2:4
1401 | [0] init:2 | [1] test:2 | [2]*lab2:4 | [3] lab2:3 | [4] lab2:3
1421 | [0] init:2 | [1] test:2 | [2] lab2:3 | [3]*lab2:4 | [4] lab2:3
1431 | [0] init:2 | [1] test:2 | [2] lab2:3 | [3] lab2:3 | [4]*lab2:4
1441 | [0] init:2 | [1] test:2 | [2]*lab2:4 | [3] lab2:3 | [4] lab2:3
1461 | [0] init:2 | [1] test:2 | [2] lab2:3 | [3]*lab2:4 | [4] lab2:3
1471 | [0] init:2 | [1] test:2 | [2] lab2:3 | [3] lab2:3 | [4]*lab2:4
1481 | [0] init:2 | [1] test:2 | [2]*lab2:4 | [3] lab2:3 | [4] lab2:3
1501 | [0] init:2 | [1] test:2 | [2] lab2:3 | [3]*lab2:4 | [4] lab2:3
1511 | [0] init:2 | [1] test:2 | [2] lab2:3 | [3] lab2:3 | [4]*lab2:4
1521 | [0] init:2 | [1] test:2 | [2]*lab2:4 | [3] lab2:3 | [4] lab2:3
1541 | [0] init:2 | [1] test:2 | [2] lab2:3 | [3]*lab2:4 | [4] lab2:3
1551 | [0] init:2 | [1] test:2 | [2] lab2:3 | [3] lab2:3 | [4]*lab2:4
1561 | [0] init:2 | [1] test:2 | [2]*lab2:4 | [3] lab2:3 | [4] lab2:3
1581 | [0] init:2 | [1] test:2 | [2] lab2:3 | [3]*lab2:4 | [4] lab2:3
1591 | [0] init:2 | [1] test:2 | [2] lab2:3 | [3] lab2:3 | [4]*lab2:4
1601 | [0] init:2 | [1] test:2 | [2]*lab2:4 | [3] lab2:3 | [4] lab2:3
1621 | [0] init:2 | [1] test:2 | [2] lab2:3 | [3]*lab2:4 | [4] lab2:3
1631 | [0] init:2 | [1] test:2 | [2] lab2:3 | [3] lab2:3 | [4]*lab2:4
1641 | [0] init:2 | [1] test:2 | [2]*lab2:4 | [3] lab2:3 | [4] lab2:3
1661 | [0] init:2 | [1] test:2 | [2] lab2:3 | [3]*lab2:4 | [4] lab2:3
1671 | [0] init:2 | [1] test:2 | [2] lab2:3 | [3] lab2:3 | [4]*lab2:4
1681 | [0] init:2 | [1] test:2 | [2]*lab2:4 | [3] lab2:3 | [4] lab2:3
1692 | [0] init:2 | [1] test:3 | [2] lab2:5 | [3]*lab2:4 | [4] lab2:3
1702 | [0] init:2 | [1] test:3 | [2] lab2:5 | [3] lab2:3 | [4]*lab2:4
1712 | [0] init:2 | [1]*test:4 | [2] lab2:5 | [3] lab2:3 | [4] lab2:3
1712 | [0] init:2 | [1] test:2 | [2] ---:0 | [3]*lab2:4 | [4] lab2:3
1722 | [0] init:2 | [1] test:2 | [2] ---:0 | [3] lab2:3 | [4]*lab2:4
1732 | [0] init:2 | [1] test:2 | [2] ---:0 | [3]*lab2:4 | [4] lab2:3
1742 | [0] init:2 | [1] test:2 | [2] ---:0 | [3] lab2:3 | [4]*lab2:4
1752 | [0] init:2 | [1] test:2 | [2] ---:0 | [3]*lab2:4 | [4] lab2:3
1762 | [0] init:2 | [1] test:2 | [2] ---:0 | [3] lab2:3 | [4]*lab2:4
1772 | [0] init:2 | [1] test:2 | [2] ---:0 | [3]*lab2:4 | [4] lab2:3
1782 | [0] init:2 | [1] test:2 | [2] ---:0 | [3] lab2:3 | [4]*lab2:4
1792 | [0] init:2 | [1] test:2 | [2] ---:0 | [3]*lab2:4 | [4] lab2:3
1802 | [0] init:2 | [1] test:2 | [2] ---:0 | [3] lab2:3 | [4]*lab2:4
1812 | [0] init:2 | [1] test:2 | [2] ---:0 | [3]*lab2:4 | [4] lab2:3
1822 | [0] init:2 | [1] test:2 | [2] ---:0 | [3] lab2:3 | [4]*lab2:4
1832 | [0] init:2 | [1] test:2 | [2] ---:0 | [3]*lab2:4 | [4] lab2:3
1842 | [0] init:2 | [1] test:2 | [2] ---:0 | [3] lab2:3 | [4]*lab2:4
1852 | [0] init:2 | [1] test:2 | [2] ---:0 | [3]*lab2:4 | [4] lab2:3
1862 | [0] init:2 | [1] test:2 | [2] ---:0 | [3] lab2:3 | [4]*lab2:4
1872 | [0] init:2 | [1] test:2 | [2] ---:0 | [3]*lab2:4 | [4] lab2:3
1882 | [0] init:2 | [1] test:2 | [2] ---:0 | [3] lab2:3 | [4]*lab2:4
1892 | [0] init:2 | [1] test:2 | [2] ---:0 | [3]*lab2:4 | [4] lab2:3
1902 | [0] init:2 | [1] test:2 | [2] ---:0 | [3] lab2:3 | [4]*lab2:4
1912 | [0] init:2 | [1] test:2 | [2] ---:0 | [3]*lab2:4 | [4] lab2:3
1922 | [0] init:2 | [1] test:2 | [2] ---:0 | [3] lab2:3 | [4]*lab2:4
1932 | [0] init:2 | [1] test:2 | [2] ---:0 | [3]*lab2:4 | [4] lab2:3
1942 | [0] init:2 | [1] test:2 | [2] ---:0 | [3] lab2:3 | [4]*lab2:4
1952 | [0] init:2 | [1] test:2 | [2] ---:0 | [3]*lab2:4 | [4] lab2:3
1962 | [0] init:2 | [1] test:2 | [2] ---:0 | [3] lab2:3 | [4]*lab2:4
1972 | [0] init:2 | [1] test:2 | [2] ---:0 | [3]*lab2:4 | [4] lab2:3
1982 | [0] init:2 | [1] test:2 | [2] ---:0 | [3] lab2:3 | [4]*lab2:4
1992 | [0] init:2 | [1] test:2 | [2] ---:0 | [3]*lab2:4 | [4] lab2:3
2002 | [0] init:2 | [1] test:2 | [2] ---:0 | [3] lab2:3 | [4]*lab2:4
2012 | [0] init:2 | [1] test:2 | [2] ---:0 | [3]*lab2:4 | [4] lab2:3
2022 | [0] init:2 | [1] test:2 | [2] ---:0 | [3] lab2:3 | [4]*lab2:4
2032 | [0] init:2 | [1] test:2 | [2] ---:0 | [3]*lab2:4 | [4] lab2:3
2042 | [0] init:2 | [1] test:2 | [2] ---:0 | [3] lab2:3 | [4]*lab2:4
2052 | [0] init:2 | [1] test:2 | [2] ---:0 | [3]*lab2:4 | [4] lab2:3
2062 | [0] init:2 | [1] test:2 | [2] ---:0 | [3] lab2:3 | [4]*lab2:4
2072 | [0] init:2 | [1] test:2 | [2] ---:0 | [3]*lab2:4 | [4] lab2:3
2082 | [0] init:2 | [1] test:2 | [2] ---:0 | [3] lab2:3 | [4]*lab2:4
2092 | [0] init:2 | [1] test:2 | [2] ---:0 | [3]*lab2:4 | [4] lab2:3
2102 | [0] init:2 | [1] test:2 | [2] ---:0 | [3] lab2:3 | [4]*lab2:4
2112 | [0] init:2 | [1] test:2 | [2] ---:0 | [3]*lab2:4 | [4] lab2:3
2122 | [0] init:2 | [1] test:2 | [2] ---:0 | [3] lab2:3 | [4]*lab2:4
2132 | [0] init:2 | [1] test:2 | [2] ---:0 | [3]*lab2:4 | [4] lab2:3
2142 | [0] init:2 | [1] test:2 | [2] ---:0 | [3] lab2:3 | [4]*lab2:4
2152 | [0] init:2 | [1] test:2 | [2] ---:0 | [3]*lab2:4 | [4] lab2:3
2162 | [0] init:2 | [1] test:2 | [2] ---:0 | [3] lab2:3 | [4]*lab2:4
2172 | [0] init:2 | [1] test:2 | [2] ---:0 | [3]*lab2:4 | [4] lab2:3
2182 | [0] init:2 | [1] test:2 | [2] ---:0 | [3] lab2:3 | [4]*lab2:4
2192 | [0] init:2 | [1] test:2 | [2] ---:0 | [3]*lab2:4 | [4] lab2:3
2202 | [0] init:2 | [1] test:2 | [2] ---:0 | [3] lab2:3 | [4]*lab2:4
2212 | [0] init:2 | [1] test:2 | [2] ---:0 | [3]*lab2:4 | [4] lab2:3
2222 | [0] init:2 | [1] test:2 | [2] ---:0 | [3] lab2:3 | [4]*lab2:4
2232 | [0] init:2 | [1] test:2 | [2] ---:0 | [3]*lab2:4 | [4] lab2:3
2242 | [0] init:2 | [1] test:2 | [2] ---:0 | [3] lab2:3 | [4]*lab2:4
2252 | [0] init:2 | [1] test:2 | [2] ---:0 | [3]*lab2:4 | [4] lab2:3
2262 | [0] init:2 | [1] test:2 | [2] ---:0 | [3] lab2:3 | [4]*lab2:4
2272 | [0] init:2 | [1] test:2 | [2] ---:0 | [3]*lab2:4 | [4] lab2:3
2282 | [0] init:2 | [1] test:2 | [2] ---:0 | [3] lab2:3 | [4]*lab2:4
2292 | [0] init:2 | [1] test:2 | [2] ---:0 | [3]*lab2:4 | [4] lab2:3
2302 | [0] init:2 | [1] test:2 | [2] ---:0 | [3] lab2:3 | [4]*lab2:4
2312 | [0] init:2 | [1] test:2 | [2] ---:0 | [3]*lab2:4 | [4] lab2:3
2322 | [0] init:2 | [1] test:2 | [2] ---:0 | [3] lab2:3 | [4]*lab2:4
2332 | [0] init:2 | [1] test:2 | [2] ---:0 | [3]*lab2:4 | [4] lab2:3
2342 | [0] init:2 | [1] test:2 | [2] ---:0 | [3] lab2:3 | [4]*lab2:4
2352 | [0] init:2 | [1] test:2 | [2] ---:0 | [3]*lab2:4 | [4] lab2:3
2362 | [0] init:2 | [1] test:2 | [2] ---:0 | [3] lab2:3 | [4]*lab2:4
2372 | [0] init:2 | [1] test:2 | [2] ---:0 | [3]*lab2:4 | [4] lab2:3
2382 | [0] init:2 | [1] test:2 | [2] ---:0 | [3] lab2:3 | [4]*lab2:4
2392 | [0] init:2 | [1] test:2 | [2] ---:0 | [3]*lab2:4 | [4] lab2:3
2402 | [0] init:2 | [1] test:2 | [2] ---:0 | [3] lab2:3 | [4]*lab2:4
2412 | [0] init:2 | [1] test:2 | [2] ---:0 | [3]*lab2:4 | [4] lab2:3
2422 | [0] init:2 | [1] test:2 | [2] ---:0 | [3] lab2:3 | [4]*lab2:4
2432 | [0] init:2 | [1] test:2 | [2] ---:0 | [3]*lab2:4 | [4] lab2:3
2442 | [0] init:2 | [1] test:2 | [2] ---:0 | [3] lab2:3 | [4]*lab2:4
2452 | [0] init:2 | [1] test:2 | [2] ---:0 | [3]*lab2:4 | [4] lab2:3
2462 | [0] init:2 | [1] test:2 | [2] ---:0 | [3] lab2:3 | [4]*lab2:4
2472 | [0] init:2 | [1] test:2 | [2] ---:0 | [3]*lab2:4 | [4] lab2:3
2482 | [0] init:2 | [1] test:2 | [2] ---:0 | [3] lab2:3 | [4]*lab2:4
2492 | [0] init:2 | [1] test:2 | [2] ---:0 | [3]*lab2:4 | [4] lab2:3
2502 | [0] init:2 | [1] test:2 | [2] ---:0 | [3] lab2:3 | [4]*lab2:4
2512 | [0] init:2 | [1] test:2 | [2] ---:0 | [3]*lab2:4 | [4] lab2:3
2522 | [0] init:2 | [1] test:2 | [2] ---:0 | [3] lab2:3 | [4]*lab2:4
2532 | [0] init:2 | [1] test:2 | [2] ---:0 | [3]*lab2:4 | [4] lab2:3
2540 | [0] init:2 | [1] test:3 | [2] ---:0 | [3] lab2:5 | [4]*lab2:4
2550 | [0] init:2 | [1]*test:4 | [2] ---:0 | [3] lab2:5 | [4] lab2:3
2550 | [0] init:2 | [1] test:2 | [2] ---:0 | [3] ---:0 | [4]*lab2:4
2554 | [0] init:2 | [1]*test:4 | [2] ---:0 | [3] ---:0 | [4] lab2:5
